PrefixSum1D
n,build_ops,avg_query_ops
10,10,1.00
50,50,1.00
100,100,1.00
500,500,1.00
1000,1000,1.00
5000,5000,1.00

PrefixSum2D
n,build_ops,avg_query_ops
10,100,1.00
20,400,1.00
50,2500,1.00
100,10000,1.00
200,40000,1.00

RMQ_Naive
n,build_ops,avg_query_ops
10,55,1.00
20,210,1.00
50,1275,1.00
100,5050,1.00
200,20100,1.00

SqrtDecomposition
n,build_ops,avg_query_ops
10,10,3.62
100,100,12.93
500,500,28.66
1000,1000,40.17
5000,5000,92.61
10000,10000,131.22

SegmentTree
n,build_ops,avg_query_ops
10,19,8.33
100,199,20.42
500,999,28.70
1000,1999,33.03
5000,9999,42.37
10000,19999,46.32

SegmentTree_Update
n,build_ops,avg_query_ops
100,199,7.74
500,999,9.97
1000,1999,10.97
5000,9999,13.39
10000,19999,14.37

FenwickTree
n,build_ops,avg_query_ops
10,23,3.10
100,376,6.30
500,2280,8.80
1000,5060,9.92
5000,33364,11.97
10000,71728,13.04

FenwickTree_Update
n,build_ops,avg_query_ops
100,376,3.78
500,2280,4.61
1000,5060,5.01
5000,33364,6.68
10000,71728,7.28

SparseTable
n,build_ops,avg_query_ops
10,38,1.00
100,679,1.00
500,4497,1.00
1000,9986,1.00
5000,61821,1.00
10000,133630,1.00

